gene,cell_type,KW_p,KW_FDR,effect_size,effect_size_class,disease_1,disease_2,mw_stat,mw_p,n1,n2,mw_FDR
RHOA,CD8T,0.0,0.0,0.8368021999999999,high,UC_inflamed,UC_non_inflamed,51111037.5,5.980527103403816e-240,11609,6890,8.114270345435421e-238
RHOA,CD8T,0.0,0.0,0.8368021999999999,high,UC_inflamed,CD_inflamed,9579777.5,2.588843327141705e-33,11609,1979,2.1139442165804975e-32
RHOA,CD8T,0.0,0.0,0.8368021999999999,high,UC_inflamed,Colitis_inflamed,64819909.0,4.339643193311553e-31,11609,12212,3.3298372303722215e-30
RHOA,CD8T,0.0,0.0,0.8368021999999999,high,Healthy,UC_inflamed,146412413.0,2.3284161312726024e-16,23962,11609,1.0927915428863548e-15
MTRNR2L12,CD8T,0.0,0.0,1.008049482,high,UC_inflamed,UC_non_inflamed,54547664.5,0.0,11609,6890,0.0
MTRNR2L12,CD8T,0.0,0.0,1.008049482,high,UC_inflamed,Colitis_inflamed,96299409.0,0.0,11609,12212,0.0
MTRNR2L12,CD8T,0.0,0.0,1.008049482,high,UC_inflamed,CD_inflamed,15548221.0,9.752805398165421e-204,11609,1979,9.94107157831988e-202
MTRNR2L12,CD8T,0.0,0.0,1.008049482,high,Healthy,UC_inflamed,128095920.0,1.2231636255653062e-49,23962,11609,1.5084654406715106e-48
CLDND1,CD8T,0.0,0.0,0.7704742499999999,high,UC_inflamed,UC_non_inflamed,49900388.0,2.5514807045137485e-261,11609,6890,4.0285879162935215e-259
CLDND1,CD8T,0.0,0.0,0.7704742499999999,high,UC_inflamed,CD_inflamed,9143635.5,5.647190076697902e-58,11609,1979,8.363803217327546e-57
CLDND1,CD8T,0.0,0.0,0.7704742499999999,high,Healthy,UC_inflamed,149726258.5,1.3219065606189116e-37,23962,11609,1.2084523561768503e-36
CLDND1,CD8T,0.0,0.0,0.7704742499999999,high,UC_inflamed,Colitis_inflamed,67782678.5,8.042772812701761e-11,11609,12212,2.9620136324848357e-10
GPR15,CD8T,0.0,0.0,0.317043614,medium,Healthy,UC_inflamed,158338081.0,7.891547425396469e-225,23962,11609,9.555892577895499e-223
GPR15,CD8T,0.0,0.0,0.317043614,medium,UC_inflamed,UC_non_inflamed,42795924.5,1.1637475381956648e-89,11609,6890,3.0871609459135527e-88
GPR15,CD8T,0.0,0.0,0.317043614,medium,UC_inflamed,Colitis_inflamed,66534167.0,2.161474788964631e-50,11609,12212,2.7155434492764943e-49
GPR15,CD8T,0.0,0.0,0.317043614,medium,UC_inflamed,CD_inflamed,10402210.5,1.2153125431671035e-39,11609,1979,1.1715915543940026e-38
NFKBIZ,CD8T,0.0,0.0,1.00737607,high,UC_inflamed,UC_non_inflamed,52191384.5,0.0,11609,6890,0.0
NFKBIZ,CD8T,0.0,0.0,1.00737607,high,UC_inflamed,CD_inflamed,9319314.5,4.704109769091516e-51,11609,1979,6.001718120194791e-50
NFKBIZ,CD8T,0.0,0.0,1.00737607,high,Healthy,UC_inflamed,128008110.0,7.516754135830985e-47,23962,11609,8.668623369678342e-46
NFKBIZ,CD8T,0.0,0.0,1.00737607,high,UC_inflamed,Colitis_inflamed,76073776.5,4.2747506877882984e-30,11609,12212,3.1856397124996777e-29
CD96,CD8T,0.0,0.0,0.8437615999999999,high,UC_inflamed,UC_non_inflamed,49752224.5,1.1468567638945318e-223,11609,6890,1.380428115285608e-221
CD96,CD8T,0.0,0.0,0.8437615999999999,high,Healthy,UC_inflamed,162147035.0,1.092094288274169e-155,23962,11609,6.908161238277884e-154
CD96,CD8T,0.0,0.0,0.8437615999999999,high,UC_inflamed,CD_inflamed,8872112.5,4.936460638659122e-67,11609,1979,8.745099393422635e-66
CD96,CD8T,0.0,0.0,0.8437615999999999,high,UC_inflamed,Colitis_inflamed,63264954.0,2.0416028011368552e-52,11609,12212,2.6843018297256143e-51
