gene,effect_size,effect_size_class
LRIG2,0.032701794000000006,low
MAGI3,0.004025907,low
PHTF1,0.060248755,low
RSBN1,0.21595570000000003,low
PTPN22,0.36430217000000004,medium
AP4B1-AS1,0.005181380500000001,low
BCL2L15,0.011660491,low
AP4B1,0.103818074,low
DCLRE1B,0.014946184999999999,low
HIPK1,0.13433669,low
OLFML3,0.00080693461,low
TRIM33,0.042162950000000005,low
BCAS2,0.45431662999999994,medium
DENND2C,0.0011906741999999997,low
AMPD1,0.0012299448,low
NRAS,0.10426028499999998,low
CSDE1,0.41450686000000003,medium
SIKE1,0.09951838,low
TSPAN2,0.008360145999999999,low
NGF,0.00020288675,low
VANGL1,0.006836451,low
CASQ2,0.0,low
SLC22A15,0.00071917104,low
MAB21L3,0.0004931927,low
ATP1A1,0.38634329999999995,medium
CD58,0.09692096000000001,low
IGSF3,0.00216903412,low
CD2,0.35741310000000004,medium
PTGFRN,0.0022481021,low
CD101,0.0227885936,low
TTF2,0.054179492999999995,low
TRIM45,0.00351519588,low
MAN1A2,0.093354376,low
GDAP2,0.064510632,low
WDR3,0.013886947000000004,low
SPAG17,0.0002808432,low
TBX15,0.0,low
WARS2,0.05903066900000001,low
HSD3B2,0.00020282548,low
HSD3B1,0.00010585417,low
ZNF697,0.00017397295,low
PHGDH,0.008039497999999999,low
HMGCS2,0.0019302471999999998,low
REG4,0.0128368274,low
NOTCH2,0.081044223,low
SEC22B,0.096159986,low
LINC00623,0.2103944625,low
FCGR1B,0.00022769625,low
FAM72B,0.0015919257300000002,low
FAM72C,0.00030211566,low
NBPF15,0.11925856800000001,low
FAM72D,0.00082164694,low
PPIAL4D,0.0002124188,low
NBPF20,0.005432350000000001,low
GPR89A,0.04747781000000001,low
PDZK1,0.0019708776,low
CD160,0.0064819378,low
RNF115,0.13050251,low
POLR3C,0.09273862999999999,low
NUDT17,0.0023653547,low
PIAS3,0.039842459999999996,low
ANKRD35,0.0242684574,low
ITGA10,0.0039723716,low
PEX11B,0.06552544799999999,low
RBM8A,0.6293448,high
LIX1L,0.13313697000000002,low
ANKRD34A,0.0022470479999999998,low
POLR3GL,0.06763141,low
