gene,H_statistic,p_value,FDR
CHRNA3,780.7707178030017,6.405452378462894e-169,3.572589407213659e-167
MEG3,779.6218473782732,1.136854560098972e-168,6.3180692177500376e-167
BTN3A2,779.5391510954704,1.1847840587686643e-168,6.5610052450175034e-167
APEX1,778.3534547876584,2.141806302577624e-168,1.1818669459010781e-166
TMEM173,777.5105274622516,3.2627578870696115e-168,1.7940556706957674e-166
FGL2,775.2793948474192,9.94138110119867e-168,5.447106736470158e-166
COX7C,774.6073710206064,1.3905513101007993e-167,7.592410153150364e-166
COL28A1,774.1216309107565,1.7722634561670127e-167,9.642724350145064e-166
RNASEK,773.2092382957883,2.7950938629292414e-167,1.5154862578760252e-165
TUSC3,770.1420869634553,1.2928822882410767e-166,6.985604613652568e-165
TMSB4X,767.2593488502864,5.454128801594758e-166,2.9367369647618005e-164
GNG11,755.1604700654584,2.2936180586881387e-163,1.2307238141809008e-161
SERPINA5,754.7290550501677,2.844971484339461e-163,1.5213265040483284e-161
LAP3,749.9790351561791,3.049048195321131e-162,1.6248711975134288e-160
PLAC9,748.7911775171895,5.517737185369415e-162,2.930426905854384e-160
PSMB10,747.5637716442964,1.0184354828686744e-161,5.390433520040626e-160
NPC2,746.938517483536,1.3916323847047377e-161,7.340742894369634e-160
CADM3,744.92509675333,3.803196140808799e-161,1.999376187402896e-159
HMGN2,739.6313254128871,5.34726941108535e-160,2.8016450944747185e-158
HOXB5,737.9420642698847,1.2429546573949257e-159,6.490475645544443e-158
BIRC3,736.9422880206351,2.0476717611601455e-159,1.0656796078733454e-157
C2orf88,733.7298672342346,1.0183160316914712e-158,5.282005256383661e-157
KHDRBS1,729.551136732717,8.204375460043998e-158,4.2414713134134434e-156
FXYD1,728.7189573358044,1.2430935944424929e-157,6.405224974542925e-156
EEF2,726.0195667627412,4.784817517794335e-157,2.457311729188041e-155
SRPX2,723.1301459072065,2.025030632669889e-156,1.0365625550978995e-154
RPS11,722.8791897172011,2.2953603579785125e-156,1.1710853288689716e-154
S100A1,721.5258438830753,4.511494139402315e-156,2.2942274608901772e-154
FTL,720.9186894982357,6.109138884325806e-156,3.0965573348206474e-154
RPS21,716.4927242371766,5.568427881059072e-155,2.813321631725981e-153
TAP2,709.8334533631355,1.5479356352077895e-153,7.795283630895925e-152
MT1F,708.1187263592053,3.643992040852894e-153,1.8291664563778027e-151
H2AFZ,707.2154365294784,5.72068348972009e-153,2.8623651377342227e-151
FDCSP,707.0342494099584,6.262341111560913e-153,3.123342629391005e-151
NFKBIA,701.5895093938188,9.49233499015015e-152,4.71917651059829e-150
MT1X,700.4485227460865,1.6779643572577995e-151,8.31554247238491e-150
RPS9,696.9182825282844,9.778463048801114e-151,4.83056074610775e-149
CHD7,694.9671850014282,2.5902340386044253e-150,1.2755263251494767e-148
TTC3,694.7888379417011,2.8314637438032683e-150,1.389918211902923e-148
EIF3E,693.4231047412876,5.599511808846386e-150,2.7400629955175666e-148
EMP3,692.7534868331559,7.82251951030738e-150,3.8158691567364616e-148
MYL6B,692.6379737438597,8.286934315695183e-150,4.0297807777041484e-148
RPS10,689.6051638736185,3.7671250882793857e-149,1.8261754984023527e-147
CAB39L,688.8993847060034,5.358538170330019e-149,2.589571815792094e-147
IGKV1-6,686.999999997264,1.3832309034424534e-148,6.622909565682467e-147
IGKV3D-15,686.999999997264,1.3832309034424534e-148,6.622909565682467e-147
ANKRD22,686.999999997264,1.3832309034424534e-148,6.622909565682467e-147
THY1,684.9720417942857,3.80732656769174e-148,1.817356095700956e-146
SEMA6D,682.521647779086,1.2940185079923105e-147,6.157866055923041e-146
RPS25,680.4169375403608,3.700869843872064e-147,1.7557693792833292e-145
CDH19,679.7457024779121,5.174244638334217e-147,2.4473076236206306e-145
HNRNPA3,675.6831381364207,3.932998004789018e-146,1.8545873318946033e-144
NCL,667.4417894048856,2.4079802634180994e-144,1.1320417184002734e-142
CTSC,667.2682537955038,2.6259073837097096e-144,1.230775445720084e-142
HDAC2,666.2839252458785,4.292437956837964e-144,2.0058446560467136e-142
TSPAN15,664.0263075693371,1.3249657662796202e-143,6.172991703316518e-142
CCDC88A,663.9800545554414,1.3559175784369428e-143,6.298338339718587e-142
F2R,663.741013467594,1.5277857272570139e-143,7.075557649359047e-142
S100B,660.9072530133153,6.28752083863561e-143,2.9032674115729595e-141
PARP14,660.637116578663,7.195323299833868e-143,3.312616149961977e-141
COMT,658.7290943869768,1.8652880172819184e-142,8.562167208532133e-141
SQSTM1,654.6638348997641,1.4195987538319704e-141,6.497169473052732e-140
PCSK1N,654.3353970233462,1.6725393790606656e-141,7.632371049138715e-140
AHR,653.7358149704154,2.2561890037371505e-141,1.0265659967004034e-139
RPL17,652.9401918084782,3.356442568720647e-141,1.5227289449522446e-139
SMIM5,652.8156959511612,3.571674485144721e-141,1.6156635657946803e-139
GAP43,648.5257655350229,3.0408229137018734e-140,1.371543343771445e-138
MAB21L1,645.3356083053274,1.4950560063763638e-139,6.723863154688612e-138
HMGB3,644.8166923945859,1.937155485120955e-139,8.687053747540975e-138
CCNI,641.6569712573768,9.38049662880446e-139,4.194537587380063e-137
SORBS2,641.3213445371247,1.1091569102079456e-138,4.945441455514568e-137
PLAUR,639.7388105826011,2.443999094454569e-138,1.0866019973945014e-136
SCG5,639.320855077109,3.0110464401280285e-138,1.334897255123426e-136
HAPLN3,636.6013238966115,1.1703974519956368e-137,5.174021235938666e-136
CBX1,634.0123204441928,4.2623212263465825e-137,1.8789229632628663e-135
MICALL2,629.8223595383718,3.451829622251738e-136,1.5173423941203193e-134
IL15,625.8482455784871,2.5098459906346933e-135,1.1001609425427172e-133
TCF4,624.1386108927827,5.892470613528577e-135,2.575638629694331e-133
TAPBP,623.0196112911786,1.0301410151279419e-134,4.490202895351794e-133
SMARCC1,622.9549827503621,1.0639179433384454e-134,4.624476848125572e-133
TCF12,621.9132004445335,1.7896413458474382e-134,7.75727269713983e-133
PHLDA1,621.4486019558949,2.256786755148587e-134,9.754960749129768e-133
CLIC4,620.8339507603655,3.0672286049522498e-134,1.3221369618188909e-132
MAPK10,618.6320869681474,9.206737541181005e-134,3.957625493876177e-132
PHLDA3,616.8376905050678,2.254889511250247e-133,9.666208177566141e-132
NLRP1,615.4476342440119,4.513192241866223e-133,1.9293896833978102e-131
MT-ND1,612.6006019232556,1.8694138939830878e-132,7.969849206649542e-131
PHB2,608.1972295774979,1.6839307933205939e-131,7.159466413896656e-130
EIF3F,607.7830761678373,2.0706613435439212e-131,8.779716939206256e-130
STMN2,605.908959046122,5.277157096977647e-131,2.2314630865779664e-129
CIRBP,603.1898548332198,2.0505602910054744e-130,8.647362788166988e-129
FNBP1L,602.0515621746348,3.61943546399338e-130,1.5222171690594862e-128
SOX4,600.9467608712365,6.282722347265103e-130,2.635187127918929e-128
H1F0,600.8244849440064,6.678142870532181e-130,2.793510247536325e-128
DLL3,599.3042439425485,1.4263415536227342e-129,5.950482819282404e-128
IFIT2,598.5501703341757,2.078241674783107e-129,8.646930134037413e-128
ST13,595.4691260627552,9.674296484365788e-129,4.014446069152428e-127
SAMHD1,593.1245399267083,3.1180709564661336e-128,1.2904335679140827e-126
PTOV1,592.4972770673158,4.2644732791948483e-128,1.7601981086883562e-126
PRPH,592.2241003219087,4.887481983576366e-128,2.0120134165722705e-126
FABP5,592.1305306325916,5.121172129707755e-128,2.1026532852343635e-126
MYH10,591.7500979041819,6.192131945398434e-128,2.5356780316406584e-126
UBC,590.9759304689233,9.113080538794804e-128,3.72201171297076e-126
GYPC,590.6635742480382,1.0650698348539521e-127,4.3386260995189395e-126
SOD2,589.9206808064563,1.5432027312597674e-127,6.269915848859853e-126
GSDMD,587.6531563875211,4.7860387087361084e-127,1.939467404860484e-125
COL15A1,585.6962774984157,1.2711160732839975e-126,5.137620056200594e-125
CSF1,584.5029196132097,2.3061003375514002e-126,9.29669102399931e-125
EIF4B,583.1182298951645,4.60305828029966e-126,1.8508576201483984e-124
COL4A1,582.5048551616352,6.251890318269272e-126,2.507362506252272e-124
PFDN5,582.2435160919176,7.123005780783091e-126,2.8493854230016886e-124
CAMK2N1,580.8530614367234,1.425867847850126e-125,5.689212712922003e-124
HAND2,580.6936696201163,1.54394340949586e-125,6.144578873443754e-124
VCAN,579.9794318226004,2.205260058704484e-125,8.754094840178693e-124
HOXA5,576.1249301948479,1.5101191939404018e-124,5.9793803503579114e-123
RPS17,575.5490241542902,2.013034474002844e-124,7.950464327400574e-123
TBX2,573.6380332988753,5.225139780845525e-124,2.0584405096136e-122
CBX3,573.0654564212954,6.953689604242234e-124,2.732483937667005e-122
BCHE,572.328026184979,1.0047721869581215e-123,3.9383526451524756e-122
TNFRSF14,571.9539907343527,1.2110077021099093e-123,4.7347966966161557e-122
VWA1,571.3852398918782,1.6085489993399626e-123,6.273341097425854e-122
CKS2,570.1906914897422,2.9199426484318686e-123,1.1359306888062077e-121
SCO2,566.3374844025296,1.9981144308491213e-122,7.753780214075604e-121
TSC22D1,563.4422136657522,8.476398491654473e-122,3.281125296732221e-120
TPM2,562.8167990077297,1.1581854909209638e-121,4.472090427846431e-120
NONO,561.6737211327488,2.0490587735228507e-121,7.892426627423041e-120
PTP4A1,561.4082051459837,2.3394198388220814e-121,8.988570891829731e-120
CEBPB,560.082301695307,4.534326752708633e-121,1.737897995046774e-119
PABPC1,559.8577756440453,5.072023620386029e-121,1.939207851519091e-119
XKR4,559.0400917997081,7.628212924041897e-121,2.909377973309215e-119
YWHAE,558.9297969358203,8.059912718558759e-121,3.066511046784666e-119
IFI30,558.8724020309927,8.294138134727338e-121,3.1479288662071243e-119
KCNS3,558.7765753095172,8.700469092385855e-121,3.2941119111098855e-119
NME4,558.3087314238617,1.0988854915389616e-120,4.150426488795578e-119
TBX3,557.8454152639194,1.3847795202045267e-120,5.217567582058751e-119
RNASE4,556.7223320171219,2.425599027650955e-120,9.117088519148916e-119
ENAH,556.5707905701327,2.616175727756363e-120,9.80971337340163e-119
MEST,556.0658232424721,3.366067148951867e-120,1.2591194929048078e-118
RAN,555.8755416489846,3.701415552447402e-120,1.3812404655068111e-118
ILF3,555.6251677453469,4.194096028323036e-120,1.5613475669075303e-118
DNAJC1,554.7769282582043,6.404727607201565e-120,2.3786149473905383e-118
DUSP1,554.6414843789416,6.85265863081722e-120,2.5389100227177797e-118
PSME1,554.4533561235045,7.52726537027124e-120,2.782227468569852e-118
CCNB1IP1,553.2100846207052,1.399988571740622e-119,5.162374920581947e-118
CXCL10,553.1034605520466,1.476508348832749e-119,5.431665819429411e-118
MEX3A,551.5742975789547,3.167308856311624e-119,1.1624172904024806e-117
