gene,H_statistic,p_value,FDR
RPS2,482.9014733045752,3.341188119095146e-103,1.5743334629331277e-101
IGFBP4,482.87128064533147,3.3917992409663776e-103,1.593058528112862e-101
XIST,482.20651393364005,4.72265871648567e-103,2.211049227839649e-101
RALGAPA1,480.36984327345397,1.1785935226667972e-102,5.5003533379488045e-101
MOB4,478.18712308182694,3.494347390382809e-102,1.62559259233872e-100
S1PR5,478.02064812566806,3.7963396856664734e-102,1.7604924605619148e-100
CAT,477.97818345134294,3.877463609130118e-102,1.792440117608604e-100
DDX3X,476.94488593678875,6.48618718003047e-102,2.988949274722217e-100
CMTM6,475.9281026447474,1.0761137779797048e-101,4.943376583860374e-100
GPR174,475.6303721351863,1.2480699244068789e-101,5.715380210080751e-100
GNG10,475.3206400895475,1.4561786385679334e-101,6.647614258434422e-100
TAP2,474.5352053771138,2.15305147568556e-101,9.79839016294913e-100
HIST1H4C,473.6846443878649,3.288330998561741e-101,1.4918638530316953e-99
ELF1,473.3207254780052,3.941550841865613e-101,1.7827001863178608e-99
MYOM2,473.20213189838387,4.181297131770829e-101,1.885314712891376e-99
CLIC3,473.1246644068495,4.345723375312013e-101,1.9534426485221547e-99
B3GNT7,472.320582177595,6.485309549831057e-101,2.9062913193646577e-99
BIRC3,471.7808008416393,8.484929248845864e-101,3.790797354042296e-99
MARCH3,471.47225796313745,9.893832189953388e-101,4.4068151036953476e-99
HMGCS1,470.7852168003304,1.3929097673664372e-100,6.18536355484478e-99
IRF8,470.1011953282939,1.9580671019608563e-100,8.668735743847248e-99
H2AFX,469.892028243622,2.1729771867827835e-100,9.591207137082804e-99
SESN1,469.8534529466441,2.2151145148198596e-100,9.747834264315382e-99
HLA-E,468.1401574777458,5.19820949090383e-100,2.280675505380381e-98
NGRN,467.9172852441797,5.80823179961914e-100,2.5407113072125036e-98
HSPA9,466.7849198847048,1.0206719182089852e-99,4.4514661575697824e-98
IGKV1-5,464.61931006004215,3.0000703523386267e-99,1.3045409775421434e-97
FAM53C,463.796882241213,4.518072972090079e-99,1.9588118737576339e-97
S100A6,462.6518995781772,7.989400765842169e-99,3.453589345800919e-97
PHF20,461.77359593696656,1.237125394015002e-98,5.332010448204659e-97
ZFP36L2,461.1634500599546,1.676229487755408e-98,7.203362731251539e-97
RPL8,459.68552996014057,3.4984182613728793e-98,1.4990006199461454e-96
