gene,H_statistic,p_value,FDR
ISM1,7.413433311825599,0.11558765817591633,0.12799830759151354
FAM8A1,7.406476184972248,0.11590471299469644,0.1283405314922954
PTRH2,7.403035988994199,0.11606178964102495,0.1285055775390776
GSDMA,7.396426330493894,0.11636413538353399,0.12883143405253777
HCG17,7.395824604298266,0.11639169638275867,0.12885304126089617
OTOA,7.380623277192739,0.11708997637565481,0.1296171229254864
ASB15,7.367600035351324,0.117691290179731,0.13027376605450944
NOMO3,7.341140762158049,0.11892179585681346,0.13162672961361213
C4BPA,7.339536974583044,0.11899676259849368,0.13169150463207857
MIR7-3HG,7.339536974583044,0.11899676259849368,0.13169150463207857
GAS5-AS1,7.334163072819275,0.11924827690468193,0.13196073312023562
ZNF366,7.324328125647401,0.1197098559171776,0.1324623669931215
LMO2,7.322745115622209,0.11978430489948026,0.13253559074157056
ATP13A4,7.313558155771773,0.12021721425131113,0.13300539619142435
ZMYND10,7.297787764274493,0.12096372573509304,0.13381291421449162
LINC01063,7.297786199468433,0.12096380001945584,0.13381291421449162
GRAPL,7.297286438634648,0.12098752678912783,0.1338299182722003
GRM4,7.2917698357695615,0.12124972053987339,0.13411068116063476
SPRYD4,7.28520998128866,0.12156218194711367,0.1344470009837674
GTF3C2,7.278938272927507,0.12186161430790002,0.13476886531586238
HABP4,7.2781540984293995,0.12189910134744576,0.13480101534673009
VIPR1,7.270512289310633,0.12226497245901259,0.13519627641532653
ZNF792,7.258351460911786,0.1228492965419126,0.1358330237962042
BIRC7,7.2538093121885225,0.12306820656667407,0.1360656771297314
RAB36,7.2522393700765875,0.12314395411196745,0.13614002712668297
PDZD7,7.250547860196724,0.12322561534186197,0.136220904198399
CYP2D6,7.2471604595136805,0.1233892997393279,0.13639243712386576
PRKAG2-AS1,7.246426194730877,0.12342480701955337,0.13642227134305338
HLA-DQB2,7.24209721494198,0.12363433802358802,0.13664443776730673
SLC22A9,7.238404204627449,0.12381334654128931,0.1368328414787712
MSR1,7.227039459008893,0.12436572427164824,0.13743382128184006
INSL3,7.224482807141563,0.12449030220558692,0.13756199864966442
SLC38A4,7.223143653176198,0.12455560111390918,0.13762465942615087
SPIRE2,7.2220184644366565,0.12461049124445081,0.13767581142735522
KCNG3,7.2136430988842655,0.12501976941137638,0.13811847473182615
CCDC61,7.211431393089535,0.12512805555312193,0.13822857202526753
ANO2,7.207020536031567,0.12534427170929158,0.13845787585984298
ZNF680,7.198442169305935,0.1257657631321145,0.13891388373816135
PRKAG1,7.184727142925964,0.12644235825759192,0.1396515826928596
DDC,7.180160063922584,0.12666840746446956,0.13989160052116176
GJB3,7.179826768023055,0.12668491865029557,0.13990018905279814
GSN-AS1,7.172923802518914,0.12702733213215245,0.14026865072462502
FGF14,7.154609021838454,0.1279399557556268,0.14126666698868567
OLR1,7.131406756131402,0.12910480078499,0.14254302020908421
DRD4,7.12935424626054,0.12920831393493892,0.1426474747929361
TLR1,7.128834918259547,0.12923451704893013,0.14266656968589936
MEP1B,7.081318183245742,0.13165282751686874,0.1453262121528385
AQP9,7.080900088249197,0.1316742896535067,0.14532987164968417
SLC5A5,7.080900088249197,0.1316742896535067,0.14532987164968417
TBC1D22A,7.0687912530988335,0.13229727297064303,0.1460074017205808
FUZ,7.068287727879692,0.13232323729805948,0.1460259950257006
CREG2,7.067624794857134,0.1323574286532415,0.14604360255848506
CCDC73,7.067624794857134,0.1323574286532415,0.14604360255848506
PARD6A,7.055186599124614,0.13300044808623127,0.14674300316850358
EPN2-AS1,7.04664523466145,0.13344367487703074,0.1472218859695138
CATSPER2,7.04336740975797,0.1336141274188921,0.1473997850312277
DPH6,7.041262996111434,0.1337236660400928,0.14751046549339988
FAM124A,7.040204798575362,0.1337787783669369,0.1475610972455911
TSR2,7.039932368711823,0.13379297025387552,0.14756658893790967
AMDHD1,7.025166639248925,0.13456424554319887,0.148407045435889
CLDN2,7.024836622213248,0.13458153029212525,0.14841588892102522
ATAD3A,7.007141622853343,0.13551130428758523,0.1494309508278315
C2orf50,6.996315532641152,0.13608306078213026,0.15005110729363766
RFWD3,6.977493547571215,0.13708237918313523,0.15114259429863544
SBF2-AS1,6.964506247619021,0.13777583833936624,0.15189672375286545
HCG21,6.955657474839685,0.13825016220560382,0.15240917117813726
APEX2,6.949335415160685,0.1385899627195074,0.15277325759658295
DYRK1B,6.929621171759989,0.13965449570809574,0.15393614051039634
MRVI1-AS1,6.919105331860792,0.14022539256608452,0.15455478342492265
RLN2,6.9175784562123255,0.14030846307058673,0.1546357017134513
SERINC4,6.908745254686526,0.14078992394254325,0.1551556496344926
TBRG4,6.8972876307647795,0.14141668608239819,0.1558356423104074
TSNAXIP1,6.893787722335794,0.14160864923249408,0.15603644295245306
TMC6,6.89276927420776,0.14166455393527191,0.15608730552254593
PDE2A,6.884979051546806,0.14209284422554547,0.15654843073053804
RMND5B,6.877877806922661,0.14248428852945128,0.1569689008443649
QRICH2,6.876040308155881,0.14258573824288429,0.157069860346374
QPCT,6.8695386684518835,0.142945229848917,0.15745504067740207
EMC8,6.863915769019802,0.14325680248584072,0.15778738862712904
AC034243.1,6.853233171712528,0.14385045241017144,0.15843035799035385
CCR2,6.835091402040856,0.14486377941796313,0.1595354204439986
ZNF843,6.834387708363293,0.14490321613838442,0.1595678798823309
ZSCAN16,6.820998862304902,0.14565543243341322,0.1603851960185604
ETAA1,6.817261394181984,0.14586604836389086,0.16060606974939437
FGGY,6.8124194907496785,0.14613931591726254,0.16089589105353272
RWDD2A,6.811364785804681,0.14619890341823968,0.16095043206061893
RNF39,6.808059443187344,0.14638578868600488,0.16114509810197528
GABBR2,6.803142592767541,0.14666419305787304,0.16144047695745672
TXLNG,6.80274066208636,0.1466869727530247,0.1614544559225671
TMEM186,6.800013934009618,0.14684159728748883,0.1616135411086174
NIF3L1,6.799028212858034,0.14689753119622087,0.16166399320941802
CACNA1C-AS1,6.79571867861826,0.14708547029881072,0.1618485832492478
MUC16,6.79571867861826,0.14708547029881072,0.1618485832492478
YIF1B,6.794046395158517,0.14718051805440766,0.16194204559163614
TTC39A,6.792684582340684,0.1472579609954332,0.16201612592827677
MRPS18A,6.7898795702338886,0.1474175924118832,0.16218061526623623
SPTBN5,6.7889932818100025,0.14746806335562598,0.16222499799224324
MEGF11,6.788459280148118,0.1474984804506659,0.1622473155262905
SDS,6.771265569101183,0.14848091277344874,0.16331676829366357
LRGUK,6.77022758871174,0.1485404127479088,0.1633709943681422
COQ10A,6.766334815075745,0.1487637514521304,0.16360539735023155
C1orf53,6.759779421870621,0.1491405443397345,0.16400852033570393
SGSM1,6.739426732134448,0.15031593742796667,0.1652897411632392
LINC00570,6.735646193232909,0.15053519642395594,0.16551947834986627
SWSAP1,6.7353851731251995,0.15055034550113083,0.16552477237037427
SCG2,6.729518555567008,0.15089119900232564,0.1658881415622383
PIWIL1,6.725564728956401,0.15112131507107157,0.16612972570304416
LCN12,6.723726012312885,0.1512284388833751,0.1662360788960963
