gene,H_statistic,p_value,FDR
PRG4,2.5595730520414666,0.6340010195798326,0.6634125527243664
GOLT1A,2.5595730520414666,0.6340010195798326,0.6634125527243664
PLD5,2.5595730520414666,0.6340010195798326,0.6634125527243664
FAM110C,2.5595730520414666,0.6340010195798326,0.6634125527243664
AC092159.2,2.5595730520414666,0.6340010195798326,0.6634125527243664
OSR1,2.5595730520414666,0.6340010195798326,0.6634125527243664
MATN3,2.5595730520414666,0.6340010195798326,0.6634125527243664
FAM228A,2.5595730520414666,0.6340010195798326,0.6634125527243664
AGBL5-AS1,2.5595730520414666,0.6340010195798326,0.6634125527243664
SLC30A3,2.5595730520414666,0.6340010195798326,0.6634125527243664
AC007743.1,2.5595730520414666,0.6340010195798326,0.6634125527243664
LRRTM1,2.5595730520414666,0.6340010195798326,0.6634125527243664
SH3RF3-AS1,2.5595730520414666,0.6340010195798326,0.6634125527243664
GLI2,2.5595730520414666,0.6340010195798326,0.6634125527243664
LYPD6,2.5595730520414666,0.6340010195798326,0.6634125527243664
KLHL41,2.5595730520414666,0.6340010195798326,0.6634125527243664
DLX1,2.5595730520414666,0.6340010195798326,0.6634125527243664
HOXD10,2.5595730520414666,0.6340010195798326,0.6634125527243664
HOXD4,2.5595730520414666,0.6340010195798326,0.6634125527243664
ERBB4,2.5595730520414666,0.6340010195798326,0.6634125527243664
FEV,2.5595730520414666,0.6340010195798326,0.6634125527243664
CRYBA2,2.5595730520414666,0.6340010195798326,0.6634125527243664
ALPI,2.5595730520414666,0.6340010195798326,0.6634125527243664
UGT1A10,2.5595730520414666,0.6340010195798326,0.6634125527243664
UGT1A1,2.5595730520414666,0.6340010195798326,0.6634125527243664
IQCA1,2.5595730520414666,0.6340010195798326,0.6634125527243664
UBE2E2-AS1,2.5595730520414666,0.6340010195798326,0.6634125527243664
ACVR2B-AS1,2.5595730520414666,0.6340010195798326,0.6634125527243664
CSPG5,2.5595730520414666,0.6340010195798326,0.6634125527243664
UCN2,2.5595730520414666,0.6340010195798326,0.6634125527243664
TMEM89,2.5595730520414666,0.6340010195798326,0.6634125527243664
CDHR4,2.5595730520414666,0.6340010195798326,0.6634125527243664
LINC00870,2.5595730520414666,0.6340010195798326,0.6634125527243664
COL6A6,2.5595730520414666,0.6340010195798326,0.6634125527243664
KCNMB2,2.5595730520414666,0.6340010195798326,0.6634125527243664
CAMK2N2,2.5595730520414666,0.6340010195798326,0.6634125527243664
AHSG,2.5595730520414666,0.6340010195798326,0.6634125527243664
FGF12,2.5595730520414666,0.6340010195798326,0.6634125527243664
CWH43,2.5595730520414666,0.6340010195798326,0.6634125527243664
FRAS1,2.5595730520414666,0.6340010195798326,0.6634125527243664
FGF5,2.5595730520414666,0.6340010195798326,0.6634125527243664
BMPR1B,2.5595730520414666,0.6340010195798326,0.6634125527243664
CTNND2,2.5595730520414666,0.6340010195798326,0.6634125527243664
CDH6,2.5595730520414666,0.6340010195798326,0.6634125527243664
PLCXD3,2.5595730520414666,0.6340010195798326,0.6634125527243664
RGS7BP,2.5595730520414666,0.6340010195798326,0.6634125527243664
ARHGEF28,2.5595730520414666,0.6340010195798326,0.6634125527243664
SOWAHA,2.5595730520414666,0.6340010195798326,0.6634125527243664
PCDHB10,2.5595730520414666,0.6340010195798326,0.6634125527243664
PCDHB13,2.5595730520414666,0.6340010195798326,0.6634125527243664
PCDHB14,2.5595730520414666,0.6340010195798326,0.6634125527243664
PCDHGA5,2.5595730520414666,0.6340010195798326,0.6634125527243664
KCTD16,2.5595730520414666,0.6340010195798326,0.6634125527243664
PLAC8L1,2.5595730520414666,0.6340010195798326,0.6634125527243664
GRIA1,2.5595730520414666,0.6340010195798326,0.6634125527243664
GABRB2,2.5595730520414666,0.6340010195798326,0.6634125527243664
FLT4,2.5595730520414666,0.6340010195798326,0.6634125527243664
OR2B6,2.5595730520414666,0.6340010195798326,0.6634125527243664
LY6G6C,2.5595730520414666,0.6340010195798326,0.6634125527243664
GUCA1A,2.5595730520414666,0.6340010195798326,0.6634125527243664
MRAP2,2.5595730520414666,0.6340010195798326,0.6634125527243664
TBX18,2.5595730520414666,0.6340010195798326,0.6634125527243664
CGA,2.5595730520414666,0.6340010195798326,0.6634125527243664
FAXC,2.5595730520414666,0.6340010195798326,0.6634125527243664
LINC00222,2.5595730520414666,0.6340010195798326,0.6634125527243664
RFX6,2.5595730520414666,0.6340010195798326,0.6634125527243664
RAET1G,2.5595730520414666,0.6340010195798326,0.6634125527243664
SLC22A3,2.5595730520414666,0.6340010195798326,0.6634125527243664
PLG,2.5595730520414666,0.6340010195798326,0.6634125527243664
TCP10,2.5595730520414666,0.6340010195798326,0.6634125527243664
RADIL,2.5595730520414666,0.6340010195798326,0.6634125527243664
HOXA13,2.5595730520414666,0.6340010195798326,0.6634125527243664
POU6F2,2.5595730520414666,0.6340010195798326,0.6634125527243664
NYAP1,2.5595730520414666,0.6340010195798326,0.6634125527243664
CPA2,2.5595730520414666,0.6340010195798326,0.6634125527243664
TRPV6,2.5595730520414666,0.6340010195798326,0.6634125527243664
MNX1,2.5595730520414666,0.6340010195798326,0.6634125527243664
CSMD1,2.5595730520414666,0.6340010195798326,0.6634125527243664
GATA4,2.5595730520414666,0.6340010195798326,0.6634125527243664
SLC7A2,2.5595730520414666,0.6340010195798326,0.6634125527243664
PHYHIP,2.5595730520414666,0.6340010195798326,0.6634125527243664
EBF2,2.5595730520414666,0.6340010195798326,0.6634125527243664
JPH1,2.5595730520414666,0.6340010195798326,0.6634125527243664
NECAB1,2.5595730520414666,0.6340010195798326,0.6634125527243664
COLEC10,2.5595730520414666,0.6340010195798326,0.6634125527243664
FER1L6,2.5595730520414666,0.6340010195798326,0.6634125527243664
COL22A1,2.5595730520414666,0.6340010195798326,0.6634125527243664
GPIHBP1,2.5595730520414666,0.6340010195798326,0.6634125527243664
TMEM249,2.5595730520414666,0.6340010195798326,0.6634125527243664
SLC1A1,2.5595730520414666,0.6340010195798326,0.6634125527243664
AQP7,2.5595730520414666,0.6340010195798326,0.6634125527243664
FAM201A,2.5595730520414666,0.6340010195798326,0.6634125527243664
TUBAL3,2.5595730520414666,0.6340010195798326,0.6634125527243664
MKX,2.5595730520414666,0.6340010195798326,0.6634125527243664
GPRIN2,2.5595730520414666,0.6340010195798326,0.6634125527243664
LRRC18,2.5595730520414666,0.6340010195798326,0.6634125527243664
ASAH2,2.5595730520414666,0.6340010195798326,0.6634125527243664
PHYHIPL,2.5595730520414666,0.6340010195798326,0.6634125527243664
ATOH7,2.5595730520414666,0.6340010195798326,0.6634125527243664
PLA2G12B,2.5595730520414666,0.6340010195798326,0.6634125527243664
CYP26A1,2.5595730520414666,0.6340010195798326,0.6634125527243664
CYP2C9,2.5595730520414666,0.6340010195798326,0.6634125527243664
SFRP5,2.5595730520414666,0.6340010195798326,0.6634125527243664
CPN1,2.5595730520414666,0.6340010195798326,0.6634125527243664
PITX3,2.5595730520414666,0.6340010195798326,0.6634125527243664
RBM20,2.5595730520414666,0.6340010195798326,0.6634125527243664
C10orf82,2.5595730520414666,0.6340010195798326,0.6634125527243664
EBF3,2.5595730520414666,0.6340010195798326,0.6634125527243664
CEND1,2.5595730520414666,0.6340010195798326,0.6634125527243664
TH,2.5595730520414666,0.6340010195798326,0.6634125527243664
ABCC8,2.5595730520414666,0.6340010195798326,0.6634125527243664
LUZP2,2.5595730520414666,0.6340010195798326,0.6634125527243664
FAT3,2.5595730520414666,0.6340010195798326,0.6634125527243664
TECTA,2.5595730520414666,0.6340010195798326,0.6634125527243664
PIANP,2.5595730520414666,0.6340010195798326,0.6634125527243664
APOBEC1,2.5595730520414666,0.6340010195798326,0.6634125527243664
RERGL,2.5595730520414666,0.6340010195798326,0.6634125527243664
PIK3C2G,2.5595730520414666,0.6340010195798326,0.6634125527243664
SLCO1C1,2.5595730520414666,0.6340010195798326,0.6634125527243664
SLC38A4,2.5595730520414666,0.6340010195798326,0.6634125527243664
DDN,2.5595730520414666,0.6340010195798326,0.6634125527243664
KRT80,2.5595730520414666,0.6340010195798326,0.6634125527243664
MYBPC1,2.5595730520414666,0.6340010195798326,0.6634125527243664
STAB2,2.5595730520414666,0.6340010195798326,0.6634125527243664
CCDC60,2.5595730520414666,0.6340010195798326,0.6634125527243664
GJB6,2.5595730520414666,0.6340010195798326,0.6634125527243664
