gene,H_statistic,p_value,FDR
TMEM108,1.492920399738627,0.6839052597478996,0.7372377539686622
CLSTN2,1.4927234232557265,0.683950775978132,0.7372377539686622
FGF1,1.4927234232557265,0.683950775978132,0.7372377539686622
PGAM2,1.492526468250548,0.6839962887248972,0.7372377539686622
MIEF1,1.4925082814967665,0.6840004914300337,0.7372377539686622
KCNQ4,1.4923295261320024,0.6840417999727051,0.7372377539686622
NAT2,1.4919357192147102,0.684132809034274,0.7372852792143352
THAP7-AS1,1.4916287142459066,0.6842037622021506,0.7373111853242594
C2CD4D,1.484251030852378,0.6859099252693124,0.7390991008249924
LYG2,1.4839198625738872,0.6859865595682864,0.7391310002862463
ZHX3,1.4816217705272952,0.6865184655684975,0.7396534040498051
TRAPPC12-AS1,1.4797306374892878,0.686956327744058,0.740074420539184
CCDC154,1.4794996344602662,0.6870098220772578,0.7400813190599893
OLAH,1.4764553737851793,0.6877149810625396,0.7407901742548918
SCN2B,1.476020989927113,0.6878156280805714,0.74084781104203
RBMS3-AS2,1.4755866993371372,0.6879162605361253,0.7409054242451855
CCL26,1.4753695908585005,0.6879665708737689,0.7409088349107211
RNF39,1.4751525069240983,0.6880168772832171,0.7409122408786516
RLN1,1.474935452442777,0.6880671786257677,0.7409156409237798
KLK13,1.4747184175968433,0.6881174771755454,0.740919037495949
MGAT1,1.471463322018189,0.6888720669619609,0.741680715515118
IGKV3-7,1.469762153023702,0.6892665852835951,0.7420038122006288
TIGIT,1.469762153023702,0.6892665852835951,0.7420038122006288
CRB1,1.4692080077675602,0.6893951203552848,0.7420913501029902
MYRFL,1.4685829288952097,0.6895401222682132,0.7421457719194109
PRAC2,1.4685829288952097,0.6895401222682132,0.7421457719194109
CPNE7,1.4673687086505351,0.6898218308530302,0.7423981300887641
ADCY2,1.4586524501574836,0.6918456649243359,0.7445252307553316
GRIN2D,1.4572574461748784,0.6921698303282657,0.7448230779485808
KIRREL3,1.4568146124898127,0.6922727490789761,0.7448461090946287
